name_ja,name_en,lat,lng,desc_ja,desc_en,URL,place_en,place_ja,date_time,us_or_ja,photoURL
鶴ヶ池,crane KE pond(Tsuru ga ike),39.701293,141.152317,この池では毎年大ザリガニ釣り大会を開催。年々数は減ってきているが、まだたくさん生息している。,A big crayfish fishing tournament is held at this pond every year. Although the number of crayfish is decreasing year by year there are still many living there.,https://zarimap.github.io/ja/details/article.html?id=0,,,2025/06/30 10:00:00,アメリカザリガニ,
中央公園,Central Park(Chuo kouen),39.694347,141.127270,中央公園内の沢にザリガニ。全体的に大きな個体。メダカなどの在来種もいる。,Crayfish were found there. They were generally large individuals. Native species such as medaka fish is also present.,https://zarimap.github.io/ja/details/article.html?id=1,,,,アメリカザリガニ,
都南大橋 高架下の浅瀬,Shallow waters beneath the elevated bridge of Tonan Ohashi,39.65956,141.171355,都南大橋の浅瀬（橋の柱）に大きくて綺麗な個体のアメリカザリガニが生息。長めの竿が必要。,"Large,beautiful American crayfish inhabit the shallow waters (around the bridge pillars) of the Tonan Ohashi Bridge. A long fishing rod is necessary.",https://maps.zaritsuri.com/ja/details/article.html?id=3,"M55C+RG Morioka,Iwate,Japan",M55C+RG 盛岡市、岩手県、日本,2026/04/28 15:04:39,アメリカザリガニ,
小岩井農場植木植物園,Koiwa Farm Botanical Garden,39.715124,141.01565,園内の水場に生息。,They inhabit the water areas within the park.,https://maps.zaritsuri.com/ja/details/article.html?id=4,"P288+27 Shizukuishi,Iwate,Japan",岩手県雫石町P288+27,2026/04/28 19:19:42,アメリカザリガニ,
紫波城古代公園の水路,Waterway in Shiwa Castle Ancient Park,39.684781,141.103796,小型個体が多くハサミも小型な個体が多い,"Many of these individuals are small,and many also have small claws.",https://maps.zaritsuri.com/ja/details/article.html?id=5,"M4M3+WG Morioka,Iwate,Japan",M4M3+WG 盛岡市、岩手県、日本,2026/04/28 19:19:50,アメリカザリガニ,
高松の池,Takamatsu Pond,39.7223,141.144276,標準的なサイズのザリガニがいます。ススキなどイネ科植物付近でよく取れます。,There are standard-sized crayfish here. They are often found near grasses such as Japanese pampas grass.,https://maps.zaritsuri.com/ja/details/article.html?id=6,"1-chōme-26-1 Takamatsu,Morioka,Iwate 020-0114,Japan",〒020-0114 岩手県盛岡市高松1丁目26-1,2026/04/28 19:34:24,アメリカザリガニ,
水田の用水路,Irrigation canals for rice paddies,39.636314,141.127825,水田の小さな用水路にザリガニ。全体的に小さな個体が多い。水流がそこまでない。,Crayfish in a small irrigation ditch in a rice paddy. Most of them are small. The water flow is not very strong.,https://maps.zaritsuri.com/ja/details/article.html?id=7,"J4PH+G4 Yahaba,Iwate,Japan",J4PH+G4 矢巾町岩手県,2026/04/28 20:37:47,アメリカザリガニ,
盛岡市永井用水路A,Morioka City Nagai Irrigation Canal A,39.654047,141.138651,この近辺に大量に生息している可能性アリ。過去数年で見かける回数は増えた。,There's a possibility that a large number of them inhabit this area. I've seen them more often in the past few years.,https://maps.zaritsuri.com/ja/details/article.html?id=8,"11 Chiwari-34 Nagai,Morioka,Iwate 020-0834,Japan",〒020-0834 岩手県盛岡市永井地割34番地11,2026/05/02 8:21:04,アメリカザリガニ,
中央公民館の池,The pond at the Central Community Center,39.711036,141.163142,ネットにも情報が載っている。中津川に流れ込む部分にもいる可能性がある。,Information is also available online. There's a possibility they're present in the part of the river that flows into the Nakatsugawa River.,https://maps.zaritsuri.com/ja/details/article.html?id=9,"14 Atagocho,Morioka,Iwate 020-0013,Japan",〒020-0013 岩手県盛岡市愛宕町14,2026/05/07 14:56:33,アメリカザリガニ,
矢巾北中学校付近の用水路,Irrigation canal near Yahaba Kita Junior High School,39.632951,141.140563,大量にいる,There are a lot of them,https://maps.zaritsuri.com/ja/details/article.html?id=10,"Dai 14 Chiwari-36 Akabayashi,Yahaba,Shiwa District,Iwate 028-3611,Japan",〒028-3611 岩手県紫波郡矢巾町赤林第14地割-36,2026/07/24 20:35:02,アメリカザリガニ,
あいのの皮膚科付近水路,Waterway near Aino Dermatology Clinic,39.58868,141.169931,綺麗な赤の個体が多い。水が流れていない水路で溜まってる。,Many of them are a beautiful red color. They are found accumulating in stagnant waterways.,https://maps.zaritsuri.com/ja/details/article.html?id=11,"Dai 9 Chiwari-227 Ainono,Yahaba,Shiwa District,Iwate 028-3605,Japan",〒028-3605 岩手県紫波郡矢巾町間野野第9地割227,2026/08/31 13:54:16,アメリカザリガニ,https://lh3.googleusercontent.com/d/11mZOc8Lmej9HSKY9xDEt2sfrQt5YQOjL
